GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
module-cloud,functionapp,KeepWarm,13,0,0,0,4,0,2,0,2,0
module-cloud,functionapp,CloudLog,137,0,12,0,32,0,8,0,2,0
module-cloud,functionapp,CloudDelete,56,0,0,0,12,0,2,0,2,0
module-cloud,functionapp,CloudUpdate,56,0,0,0,12,0,2,0,2,0
module-cloud,functionapp,CloudGet,56,0,0,0,12,0,2,0,2,0
module-cloud,functionapp,CloudHelper,0,57,0,0,0,18,0,4,0,4
module-cloud,functionapp,CloudPost,56,0,0,0,12,0,2,0,2,0
module-cloud,functionapp,CloudCreate,56,0,0,0,12,0,2,0,2,0
module-cloud,crashhandler,CrashHandler,229,0,8,0,53,0,12,0,8,0
module-cloud,crashhandler,InsightProvider,52,0,2,0,18,0,3,0,2,0
module-cloud,cosmosoperations,MockDbConnector,0,189,0,0,0,37,0,7,0,7
module-cloud,cosmosoperations,CosmosOperations,685,0,66,0,123,0,47,0,14,0
module-cloud,cosmosoperations,DbConnectorFactory,0,25,0,4,0,9,0,5,0,3
module-cloud,functionlibrary,CloudFunctionLibrary,262,0,7,0,71,0,14,0,10,0
module-cloud,functionlibrary,CloudLogger,163,0,2,0,33,0,12,0,11,0
module-cloud,datastructures,CloudResponse,0,12,0,0,0,1,0,1,0,1
module-cloud,datastructures,Entity,0,24,0,0,0,1,0,1,0,1
module-cloud,datastructures,TimeRange,0,9,0,0,0,1,0,1,0,1
